id,student_id,session_id
00ecdd16-ea53-405c-a305-0acb35a849c0,378092a2-0d5c-45ea-88fa-acfc50676ed5,566a9cde-42d1-45d3-b8c0-2a752c06e48b
0157857f-872c-4b82-a8b4-87142e3b4f68,43265a22-0a19-40b0-b708-73cf2cca8028,fab707a1-b32d-4fe6-8a91-e58e6a9147d6
023813ef-df93-4830-b606-2961dd67a41a,145512d8-8924-4113-8d23-978af22ef3ad,17e64ec3-fd0a-4cdf-9a7c-ef4ca51835a0
0264a61e-a0ab-4512-969c-556c8dff2074,55c6d556-2dba-4172-b655-10321c7c02dc,63a97128-5669-454d-8ff0-2b28f7b3f691
04b9be75-699f-4b4d-b420-6f141a581803,8350cba8-5c8d-4085-b145-5ea5bb7b5a01,e15a3982-3e8a-456e-b92e-2d5786fdbe79
05b0d762-85df-44b5-ad35-949826a5a9d4,af6aba23-d7b2-47ae-ba8e-b6199290632b,566a9cde-42d1-45d3-b8c0-2a752c06e48b
07aab88b-e5b9-4293-b59d-b02359716990,8f2cfede-b791-428c-98d0-6bbc205f0039,17e64ec3-fd0a-4cdf-9a7c-ef4ca51835a0
07e8b4f9-eddb-46ea-a079-b2a4639d37d9,332230bc-8da9-4204-8ce7-17fbe356d4ab,63a97128-5669-454d-8ff0-2b28f7b3f691
08ad083a-f1a4-413a-87d8-5b0035380078,945a0cbe-0e19-494e-8041-3f19213e9c13,566a9cde-42d1-45d3-b8c0-2a752c06e48b
08c2a3b8-7d6e-4ed2-b513-6bf42249ac21,200ec8e9-7c45-4db1-b9e9-4ac60aee6c94,17e64ec3-fd0a-4cdf-9a7c-ef4ca51835a0
0922902f-47fa-4d0c-92eb-20f1b287e4b0,bf3a2d61-29d4-48d2-8c9f-babfad8878b0,8ad83b04-db31-4eb2-bcf9-a0f2ca1c3758
09643534-40d9-456d-aa98-efdb3a8ca987,d5efe5d4-17b7-4128-8fa4-af3f00605855,cf4f79ce-64ff-4f7e-8932-fac7158219a6
0a663d93-7e39-443f-86fb-0f1d4a028241,0785126b-c15a-4657-9a0c-4934fd242d03,8ad83b04-db31-4eb2-bcf9-a0f2ca1c3758
0b0cd827-13d2-4515-883e-c012269fa07d,54fc67f6-59b9-4124-9b91-6373eea5e4dc,1ad936a9-d769-4815-a351-79308ddbf460
0bc6bb97-8f07-4354-a524-357ca740c955,7dbfe406-84cf-480a-8c94-53813d21a5a3,cf4f79ce-64ff-4f7e-8932-fac7158219a6
