id,student_id,restriction
00461aeb-10b3-429a-9591-10852021440c,ef299e33-69a6-40fd-92d0-12147fb1e93a,halal
184b0e74-9bd7-402b-8509-6dbe04edcdf0,f756e82a-b3e9-4865-b11b-2c6cf9419469,halal
1c19f19d-21e4-4400-a1d9-5838a6d9e643,d3a96b25-096a-4295-af48-6164324796d1,halal
1ebdb654-282a-44e2-8dfa-4f44182c25b9,e83ef64e-d212-4eeb-a397-168199e38770,no_shellfish
2144cdf4-4c66-4db1-a569-e2039de38291,a02be0c3-7b8f-4e07-8b5e-260c231cca42,no_beef
287548ab-d92f-424b-aefd-2a4fa743b2c9,bf83e627-865c-4d19-ac58-cb86e366666d,halal
2b15000c-f2db-47bf-a2d7-c80166e3fcf0,c2375fdf-7d31-4868-aeac-79d1e292cebb,no_beef
2bbac98e-a087-4451-9252-c1485c0e75a0,4d7bea28-8640-4178-8ad3-885ef6dc90c8,vegetarian
33be47b2-a3ff-4652-aa33-e7b26e9ee731,21e81ffc-e1bb-4f5f-b575-f26703781295,vegetarian
33e3c7f4-5b6a-4912-a7a0-67d95ca312bb,1b3244a7-7ced-4427-945e-700f18a73d66,no_pork
3a2d4202-59d0-49a5-81a3-9f5aecd8ba9b,95a6073e-3ed5-4617-991d-3cb18bf60006,vegetarian
3d804e07-7b15-475d-a582-97673f1ea6f3,0b717bbd-feae-4699-970c-dd1b71adf7ea,halal
3faa5415-a203-4227-ae50-c3c37681a65e,2acf9d07-ed60-4281-939b-59466aef604f,nut_free
3fc7ccda-867b-45fd-b2a8-c1c77834f142,27230206-9fad-42a3-948b-b51319933169,halal
44cfd36a-b04d-45c6-899b-321dbbc87129,7a798aec-6c0b-4eeb-a548-7ad59d0b566e,gluten_free
4d128b6d-3eb9-48a0-b4e0-80e1037f90d0,c5c232b0-10a0-4054-81ef-a74e12263611,no_pork
4d306be1-4476-4acb-a8f0-1e98b78791e0,1b3244a7-7ced-4427-945e-700f18a73d66,no_beef
4d897388-ea96-4aa2-bf53-ee91c6d2e03a,332230bc-8da9-4204-8ce7-17fbe356d4ab,halal
52cf0106-4a9a-4cc5-bdb0-a568427867fc,20f53d06-ea02-4191-85a0-e57c2aca14c3,halal
577d42d1-8904-472a-baf1-83e54fcdd5c5,a069eb66-b8fa-4a74-9bcd-f968dcadbf96,halal
5a83eb28-13a0-4869-9de6-ad27d197b467,799d8763-7d86-4fd7-82a6-ac48cc27c381,halal
5c721a2e-4874-49fd-af3d-919afb5a08c2,c5c232b0-10a0-4054-81ef-a74e12263611,no_beef
5d1d547c-5b41-4576-8634-1a69db5e6e25,41975c48-9ea1-41ed-9705-c1bf2776d129,dairy_free
6167d929-41d1-4d77-8bdd-0a17b2fa18f6,54fc67f6-59b9-4124-9b91-6373eea5e4dc,vegetarian
668c3dc9-0f74-4068-ae34-b7efab625e38,ccff7fa9-479d-4fbb-ae9c-074e1943c0bd,no_pork
66a62b53-b32b-4656-af93-eb5ddfc0d909,033f11f4-61bf-4570-98d8-6160eab212c4,nut_free
6b3dc507-a41f-42af-a2ff-9320b42a206d,c4be8d29-acca-4c73-a7dc-fa3aa9a8a5d5,halal
6be767c7-0727-40ae-87c1-584c1eab3636,e4c26ea7-6e44-4adc-a93e-6ee105430918,halal
6ec83bd2-0e37-4f01-a057-9de0b853a1e2,e6940706-24e3-4854-918c-6825b205f770,no_beef
704210cb-7bbb-4d5c-815c-758bfb9e2456,3281bbb3-7658-4d0b-b172-94defc2a6a45,halal
