id,student_id,session_id,absence_date
083e590d-2232-4935-a986-8a40e5b7263d,0785126b-c15a-4657-9a0c-4934fd242d03,8ad83b04-db31-4eb2-bcf9-a0f2ca1c3758,2026-05-07
16168a96-93e8-4e9e-be1a-187467b01d97,55c6d556-2dba-4172-b655-10321c7c02dc,63a97128-5669-454d-8ff0-2b28f7b3f691,2026-05-05
2f77a379-51b7-4757-9592-e58a9e79adee,04729b6a-fef3-45a3-8d4c-8d3dfe848576,d73f1a03-54f9-4c3d-96b8-4eb3d094e024,2026-05-05
6edf032e-391f-49ca-82c6-0dddcc923348,807a0260-463d-4007-9bd1-b2f9d8f0d437,63a97128-5669-454d-8ff0-2b28f7b3f691,2026-05-05
93e9a1b1-dc3e-430f-a61e-fc68c6b2e8be,53dee3d4-f8e4-44c5-83d4-f530ad5d354d,d73f1a03-54f9-4c3d-96b8-4eb3d094e024,2026-05-05
a05ec430-3cca-48db-8a59-9c1e3129c680,f48216ce-15fb-4da5-935f-6e44fe32dbde,fab707a1-b32d-4fe6-8a91-e58e6a9147d6,2026-05-05
af047eed-26ba-4d17-92b1-61e25be8d640,009804ca-62f9-4426-9a6c-52e02ec38675,e3faf190-1c05-48dc-bf59-fe232592f0c6,2026-05-06
b84c4fa5-5d2c-4cad-9d5e-d88deddbe64b,8a841124-076b-4143-a7fa-0ac6e73f023c,e15a3982-3e8a-456e-b92e-2d5786fdbe79,2026-05-04
e0186d7a-8678-4f37-8470-259fbb7a24c5,064c00c9-602b-4147-9880-2dadc79e9bd1,e15a3982-3e8a-456e-b92e-2d5786fdbe79,2026-05-04
f22f6e18-c292-4485-a778-e7165cfe7dab,baf4f137-4d38-44f2-8d4d-7b66c0a43d93,d73f1a03-54f9-4c3d-96b8-4eb3d094e024,2026-05-05
